,Unnamed: 0.2,Unnamed: 0.1,url,Context,Unnamed: 0,RE_pred
0,0,424,https://www.omnia.fi/en/about-omnia/safety-omnia/emergency-and-accident-response," In case of an accident, fill the accident notice form and the safety deviation notice (Forms)(in Finnish).",,"[['accident notice form, Forms, application_form, language, Finnish'], ['safety deviation notice, Forms, application_form, language, Finnish']]"
1,1,410,https://www.omnia.fi/en/about-omnia/sustainable-future,We are the first educational institution in Finland awarded the certificate whose operations include lifelong learning.,,[]
2,2,0,https://www.omnia.fi/en/study-options-omnia," At Omnia, you can complete a qualification, acquire new skills or supplement your already acquired skills - you can train and find a new direction for your future.",,"[['Omnia, qualification, acquire, N/A'], ['Omnia, skills, acquire, N/A'], ['skills, direction, acquire, new'], ['skills, future, acquire, new']]"
3,3,1,https://www.omnia.fi/en/study-options-omnia," Do you need information about different study options, help in applying for training or career guidance?",,[]
4,4,2,https://www.omnia.fi/en/study-options-omnia," As an athlete, you can get a profession, complete the Finnish matriculation examination while pursuing towards your goals in sports.",,"[['Entity1: athlete, Entity2: profession, Relation: eligible_for'], ['Entity1: athlete, Entity2: matriculation examination, Relation: done_by, Qualifier: pursuing towards goals in sports']]"
5,5,3,https://www.omnia.fi/en/study-options-omnia,Learn how you can combine sports and study.,,"[['Entity1: sports, Entity2: study, Relation: combination, Qualifier: None']]"
6,6,4,https://www.omnia.fi/en/study-options-omnia," Omnia, the Joint Authority of Education in the Espoo region Telephone exchange 09231999 Office hours during week 8â16 Counseling and guidance services for applicants or students InfoOmnia Kirkkokatu 16 B, Espoon keskus Upseerinkatu 1-3, LeppÃ¤vaara ItÃ¤tuulenpiha 1, Tapiola",,"[['Entity1: Omnia, Entity2: Joint Authority of Education, Relation: description'], ['Entity1: Telephone exchange, Entity2: 09231999, Relation: contact_info'], ['Entity1: Office hours, Entity2: Counseling and guidance services, Relation: frequency'], ['Entity1: Counseling and guidance services, Entity2: applicants or students, Relation: target_group'], ['Entity1: InfoOmnia Kirkkokatu 16 B, Entity2: NULL, Relation: where'], ['Entity1: Upseerinkatu 1-3, Entity2: NULL, Relation: where'], ['Entity1: Itätuulenpiha 1, Entity2: Tapiola, Relation: where']]"
7,7,5,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications," In Omnia's wide selection, you will find the right training for yourself and the way to complete your studies.",,"[['Omnia, training, services, None'], ['yourself, studies, services, None']]"
8,8,6,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications,"After completing your vocational qualification, the doors of universities and colleges are also open for you.",,"[['vocational qualification, universities, colleges'], ['where'], ['open'], ['vocational qualification, universities, where, open'], ['vocational qualification, colleges, where, open']]"
9,9,7,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications,"Through continuous admission, you can apply at any time that suits you.",,[]
10,10,8,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications," As an athlete, you can get a profession or complete the Finnish matriculation examination while continuing to pursue towards your goals in sports.",,"[['Entity1: athlete, Entity2: profession, Relation: eligible_for'], ['Entity1: athlete, Entity2: Finnish matriculation examination, Relation: eligible_for']]"
