,Unnamed: 0.2,Unnamed: 0.1,url,Context,Unnamed: 0,RE_pred
0,8000,8000,https://migri.fi/en/glossary,"See also Finnish citizen, Finnish citizen by birth, Finnish origin.",8618.0,[]
1,8001,8001,https://migri.fi/en/glossary,Schengen area fi Schengen-alue sv Schengenomr̴det,8619.0,[]
2,8002,8002,https://migri.fi/en/glossary,The Schengen area refers to the area of states applying the Schengen acquis.,8620.0,"['Schengen area, states, application of Schengen acquis, No Qualifiers']"
3,8003,8003,https://migri.fi/en/glossary,"These states include Austria, Belgium, the Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, the Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden and Switzerland.",8621.0,"['Austria, None, None, None', 'Belgium, None, None, None', 'Czech Republic, None, None, None', 'Denmark, None, None, None', 'Estonia, None, None, None', 'Finland, None, None, None', 'France, None, None, None', 'Germany, None, None, None', 'Greece, None, None, None', 'Hungary, None, None, None', 'Iceland, None, None, None', 'Italy, None, None, None', 'Latvia, None, None, None', 'Liechtenstein, None, None, None', 'Lithuania, None, None, None', 'Luxembourg, None, None, None', 'Malta, None, None, None', 'Netherlands, None, None, None', 'Norway, None, None, None', 'Poland, None, None, None', 'Portugal, None, None, None', 'Slovakia, None, None, None', 'Slovenia, None, None, None', 'Spain, None, None, None', 'Sweden, None, None, None', 'Switzerland, None, None, None']"
4,8004,8004,https://migri.fi/en/glossary,A person residing in Finland whose family member applies for a residence permit in Finland on the basis of family ties in order to be together with the sponsor.,8623.0,"['person, Finland, reside-in, None', 'family member, Finland, apply-for, on the basis of family ties', 'residence permit, sponsor, requirement, None']"
5,8005,8005,https://migri.fi/en/glossary,subsidiary protection fi toissijainen suojelu sv alternativt skydd,8624.0,"['subsidiary protection, alternativt skydd, None, None']"
6,8006,8006,https://migri.fi/en/glossary,Reason for granting a residence permit.,8625.0,[]
7,8007,8007,https://migri.fi/en/glossary,"A residence permit is issued on the basis of subsidiary protection when the requirements for granting asylum are not met, but the applicant faces a risk of being subjected to the death penalty, execution, torture or other inhuman or degrading treatment or punishment in his or her home country or country of former habitual residence.",8626.0,"['residence permit, asylum, issuance, basis of subsidiary protection', 'applicant, death penalty/execution/torture/inhuman or degrading treatment/punishment, risk of being subjected to, country of former habitual residence']"
8,8008,8008,https://migri.fi/en/glossary,A permit may also be issued if the applicant is unable to return to his or her home country or country of former habitual residence without being exposed to serious and individual threat as a result of armed conflicts.,8627.0,"['Entity1: permit, Entity2: applicant, Relation: issued_by, Qualifier Key: reason, Qualifier Value: unable to return to country of former habitual residence or home country due to exposure to serious and individual threat as a result of armed conflicts']"
9,8009,8009,https://migri.fi/en/glossary,"See also asylum, international protection.",8628.0,"['""asylum"" and ""international protection""']"
